#TLB experiment
# page size = 4096 bytes 
# max pages = 512
# total number or references = 1 Mi
#pages	 proc 	 sum
66	 0.0000000000 	 1048542
67	 0.0000000000 	 1048550
68	 0.0000000000 	 1048560
69	 0.0156250000 	 1048524
70	 0.0000000000 	 1048530
71	 0.0000000000 	 1048528
72	 0.0000000000 	 1048536
73	 0.0000000000 	 1048572
74	 0.0000000000 	 1048506
75	 0.0000000000 	 1048575
76	 0.0156250000 	 1048572
77	 0.0000000000 	 1048509
78	 0.0000000000 	 1048554
79	 0.0000000000 	 1048567
80	 0.0000000000 	 1048560
81	 0.0000000000 	 1048545
82	 0.0156250000 	 1048534
83	 0.0000000000 	 1048539
84	 0.0000000000 	 1048572
85	 0.0000000000 	 1048560
86	 0.0000000000 	 1048512
87	 0.0156250000 	 1048524
88	 0.0000000000 	 1048520
89	 0.0000000000 	 1048509
90	 0.0000000000 	 1048500
91	 0.0000000000 	 1048502
92	 0.0000000000 	 1048524
93	 0.0156250000 	 1048575
94	 0.0000000000 	 1048570
95	 0.0000000000 	 1048515
96	 0.0000000000 	 1048512
97	 0.0000000000 	 1048570
98	 0.0000000000 	 1048502
99	 0.0156250000 	 1048509
100	 0.0000000000 	 1048500
101	 0.0000000000 	 1048481
102	 0.0000000000 	 1048560
103	 0.0000000000 	 1048540
104	 0.0156250000 	 1048528
105	 0.0000000000 	 1048530
106	 0.0000000000 	 1048552
107	 0.0000000000 	 1048493
108	 0.0000000000 	 1048572
109	 0.0000000000 	 1048471
110	 0.0156250000 	 1048520
111	 0.0000000000 	 1048506
112	 0.0000000000 	 1048544
113	 0.0000000000 	 1048527
114	 0.0000000000 	 1048572
115	 0.0000000000 	 1048570
116	 0.0156250000 	 1048524
117	 0.0000000000 	 1048554
118	 0.0000000000 	 1048548
119	 0.0000000000 	 1048509
120	 0.0000000000 	 1048560
121	 0.0156250000 	 1048465
122	 0.0000000000 	 1048468
123	 0.0000000000 	 1048575
124	 0.0000000000 	 1048544
125	 0.0000000000 	 1048500
126	 0.0000000000 	 1048572
127	 0.0156250000 	 1048512
128	 0.0000000000 	 1048576
129	 0.0000000000 	 1048512
130	 0.0000000000 	 1048450
131	 0.0000000000 	 1048524
132	 0.0156250000 	 1048476
133	 0.0000000000 	 1048572
134	 0.0000000000 	 1048550
135	 0.0000000000 	 1048545
136	 0.0000000000 	 1048560
137	 0.0156250000 	 1048461
138	 0.0000000000 	 1048524
139	 0.0000000000 	 1048477
140	 0.0000000000 	 1048460
141	 0.0000000000 	 1048476
142	 0.0000000000 	 1048528
143	 0.0156250000 	 1048476
144	 0.0000000000 	 1048464
145	 0.0000000000 	 1048495
146	 0.0000000000 	 1048572
147	 0.0000000000 	 1048551
148	 0.0000000000 	 1048432
149	 0.0156250000 	 1048513
150	 0.0000000000 	 1048500
151	 0.0000000000 	 1048544
152	 0.0000000000 	 1048496
153	 0.0000000000 	 1048509
154	 0.0156250000 	 1048432
155	 0.0000000000 	 1048575
156	 0.0000000000 	 1048476
157	 0.0000000000 	 1048446
158	 0.0000000000 	 1048488
159	 0.0000000000 	 1048446
160	 0.0156250000 	 1048480
161	 0.0000000000 	 1048432
162	 0.0000000000 	 1048464
163	 0.0000000000 	 1048416
164	 0.0000000000 	 1048452
165	 0.0000000000 	 1048575
166	 0.0156250000 	 1048456
167	 0.0000000000 	 1048426
168	 0.0000000000 	 1048488
169	 0.0000000000 	 1048476
170	 0.0000000000 	 1048560
171	 0.0156250000 	 1048572
172	 0.0000000000 	 1048512
173	 0.0000000000 	 1048553
174	 0.0000000000 	 1048524
175	 0.0000000000 	 1048425
176	 0.0000000000 	 1048432
177	 0.0156250000 	 1048548
178	 0.0000000000 	 1048420
179	 0.0000000000 	 1048403
180	 0.0000000000 	 1048500
181	 0.0000000000 	 1048533
182	 0.0156250000 	 1048502
183	 0.0000000000 	 1048407
184	 0.0000000000 	 1048432
185	 0.0000000000 	 1048395
186	 0.0000000000 	 1048482
187	 0.0156250000 	 1048509
188	 0.0000000000 	 1048476
189	 0.0000000000 	 1048572
190	 0.0000000000 	 1048420
191	 0.0000000000 	 1048399
192	 0.0000000000 	 1048512
193	 0.0156250000 	 1048569
194	 0.0000000000 	 1048570
195	 0.0000000000 	 1048515
196	 0.0000000000 	 1048404
197	 0.0000000000 	 1048434
198	 0.0000000000 	 1048410
199	 0.0156250000 	 1048531
200	 0.0000000000 	 1048400
201	 0.0000000000 	 1048416
202	 0.0000000000 	 1048380
203	 0.0000000000 	 1048495
204	 0.0156250000 	 1048560
205	 0.0000000000 	 1048575
206	 0.0000000000 	 1048540
207	 0.0000000000 	 1048455
208	 0.0000000000 	 1048528
209	 0.0000000000 	 1048553
210	 0.0156250000 	 1048530
211	 0.0000000000 	 1048459
212	 0.0000000000 	 1048552
213	 0.0000000000 	 1048386
214	 0.0000000000 	 1048386
215	 0.0000000000 	 1048555
216	 0.0156250000 	 1048464
217	 0.0000000000 	 1048544
218	 0.0000000000 	 1048362
219	 0.0000000000 	 1048572
220	 0.0000000000 	 1048520
221	 0.0156250000 	 1048424
222	 0.0000000000 	 1048506
223	 0.0000000000 	 1048546
224	 0.0000000000 	 1048544
225	 0.0000000000 	 1048500
226	 0.0000000000 	 1048414
227	 0.0156250000 	 1048513
228	 0.0000000000 	 1048572
229	 0.0000000000 	 1048362
230	 0.0000000000 	 1048570
231	 0.0000000000 	 1048509
232	 0.0156250000 	 1048408
233	 0.0000000000 	 1048500
234	 0.0000000000 	 1048554
235	 0.0000000000 	 1048570
236	 0.0000000000 	 1048548
237	 0.0000000000 	 1048488
238	 0.0156250000 	 1048390
239	 0.0000000000 	 1048493
240	 0.0000000000 	 1048560
241	 0.0000000000 	 1048350
242	 0.0000000000 	 1048344
243	 0.0000000000 	 1048545
244	 0.0156250000 	 1048468
245	 0.0000000000 	 1048355
246	 0.0000000000 	 1048452
247	 0.0000000000 	 1048515
248	 0.0000000000 	 1048544
249	 0.0156250000 	 1048539
250	 0.0000000000 	 1048500
251	 0.0000000000 	 1048427
252	 0.0000000000 	 1048572
253	 0.0000000000 	 1048432
254	 0.0000000000 	 1048512
255	 0.0156250000 	 1048560
256	 0.0000000000 	 1048576
257	 0.0000000000 	 1048560
258	 0.0000000000 	 1048512
259	 0.0000000000 	 1048432
260	 0.0000000000 	 1048320
261	 0.0156250000 	 1048437
262	 0.0000000000 	 1048524
263	 0.0000000000 	 1048318
264	 0.0000000000 	 1048344
265	 0.0000000000 	 1048340
266	 0.0000000000 	 1048572
267	 0.0156250000 	 1048509
268	 0.0000000000 	 1048416
269	 0.0000000000 	 1048562
270	 0.0000000000 	 1048410
271	 0.0000000000 	 1048499
272	 0.0156250000 	 1048560
273	 0.0000000000 	 1048320
274	 0.0000000000 	 1048324
275	 0.0000000000 	 1048575
276	 0.0000000000 	 1048524
277	 0.0000000000 	 1048445
278	 0.0156250000 	 1048338
279	 0.0000000000 	 1048482
280	 0.0000000000 	 1048320
281	 0.0000000000 	 1048411
282	 0.0000000000 	 1048476
283	 0.0156250000 	 1048515
284	 0.0000000000 	 1048528
285	 0.0000000000 	 1048515
286	 0.0000000000 	 1048476
287	 0.0000000000 	 1048411
288	 0.0000000000 	 1048320
289	 0.0156250000 	 1048492
290	 0.0000000000 	 1048350
291	 0.0000000000 	 1048473
292	 0.0000000000 	 1048572
293	 0.0000000000 	 1048354
294	 0.0156250000 	 1048404
295	 0.0000000000 	 1048430
296	 0.0000000000 	 1048432
297	 0.0000000000 	 1048410
298	 0.0000000000 	 1048364
299	 0.0000000000 	 1048294
300	 0.0156250000 	 1048500
301	 0.0000000000 	 1048383
302	 0.0000000000 	 1048544
303	 0.0000000000 	 1048380
304	 0.0000000000 	 1048496
305	 0.0000000000 	 1048285
306	 0.0156250000 	 1048356
307	 0.0000000000 	 1048405
308	 0.0000000000 	 1048432
309	 0.0000000000 	 1048437
310	 0.0000000000 	 1048420
311	 0.0000000000 	 1048381
312	 0.0156250000 	 1048320
313	 0.0000000000 	 1048550
314	 0.0000000000 	 1048446
315	 0.0000000000 	 1048320
316	 0.0000000000 	 1048488
317	 0.0156250000 	 1048319
318	 0.0000000000 	 1048446
319	 0.0000000000 	 1048553
320	 0.0000000000 	 1048320
321	 0.0000000000 	 1048386
322	 0.0000000000 	 1048432
323	 0.0156250000 	 1048458
324	 0.0000000000 	 1048464
325	 0.0000000000 	 1048450
326	 0.0000000000 	 1048416
327	 0.0000000000 	 1048362
328	 0.0000000000 	 1048288
329	 0.0156250000 	 1048523
330	 0.0000000000 	 1048410
331	 0.0000000000 	 1048277
332	 0.0000000000 	 1048456
333	 0.0000000000 	 1048284
334	 0.0000000000 	 1048426
335	 0.0156250000 	 1048550
336	 0.0000000000 	 1048320
337	 0.0000000000 	 1048407
338	 0.0000000000 	 1048476
339	 0.0000000000 	 1048527
340	 0.0156250000 	 1048560
341	 0.0000000000 	 1048575
342	 0.0000000000 	 1048572
343	 0.0000000000 	 1048551
344	 0.0000000000 	 1048512
345	 0.0000000000 	 1048455
346	 0.0156250000 	 1048380
347	 0.0000000000 	 1048287
348	 0.0000000000 	 1048524
349	 0.0000000000 	 1048396
350	 0.0000000000 	 1048250
351	 0.0000000000 	 1048437
352	 0.0156250000 	 1048256
353	 0.0000000000 	 1048410
354	 0.0000000000 	 1048548
355	 0.0000000000 	 1048315
356	 0.0000000000 	 1048420
357	 0.0000000000 	 1048509
358	 0.0156250000 	 1048224
359	 0.0000000000 	 1048280
360	 0.0000000000 	 1048320
361	 0.0000000000 	 1048344
362	 0.0000000000 	 1048352
363	 0.0000000000 	 1048344
364	 0.0156250000 	 1048320
365	 0.0000000000 	 1048280
366	 0.0000000000 	 1048224
367	 0.0000000000 	 1048519
368	 0.0000000000 	 1048432
369	 0.0000000000 	 1048329
370	 0.0156250000 	 1048210
371	 0.0000000000 	 1048446
372	 0.0000000000 	 1048296
373	 0.0000000000 	 1048503
374	 0.0000000000 	 1048322
375	 0.0156250000 	 1048500
376	 0.0000000000 	 1048288
377	 0.0000000000 	 1048437
378	 0.0000000000 	 1048572
379	 0.0000000000 	 1048314
380	 0.0000000000 	 1048420
381	 0.0156250000 	 1048512
382	 0.0000000000 	 1048208
383	 0.0000000000 	 1048271
384	 0.0000000000 	 1048320
385	 0.0000000000 	 1048355
386	 0.0000000000 	 1048376
387	 0.0156250000 	 1048383
388	 0.0000000000 	 1048376
389	 0.0000000000 	 1048355
390	 0.0000000000 	 1048320
391	 0.0000000000 	 1048271
392	 0.0000000000 	 1048208
393	 0.0156250000 	 1048524
394	 0.0000000000 	 1048434
395	 0.0000000000 	 1048330
396	 0.0000000000 	 1048212
397	 0.0000000000 	 1048477
398	 0.0156250000 	 1048332
399	 0.0000000000 	 1048572
400	 0.0000000000 	 1048400
401	 0.0000000000 	 1048214
402	 0.0000000000 	 1048416
403	 0.0000000000 	 1048203
404	 0.0156250000 	 1048380
405	 0.0000000000 	 1048545
406	 0.0000000000 	 1048292
407	 0.0000000000 	 1048432
408	 0.0000000000 	 1048560
409	 0.0000000000 	 1048267
410	 0.0156250000 	 1048370
411	 0.0000000000 	 1048461
412	 0.0000000000 	 1048540
413	 0.0000000000 	 1048194
414	 0.0000000000 	 1048248
415	 0.0000000000 	 1048290
416	 0.0156250000 	 1048320
417	 0.0000000000 	 1048338
418	 0.0000000000 	 1048344
419	 0.0000000000 	 1048338
420	 0.0000000000 	 1048320
421	 0.0000000000 	 1048290
422	 0.0156250000 	 1048248
423	 0.0000000000 	 1048194
424	 0.0000000000 	 1048552
425	 0.0000000000 	 1048475
426	 0.0000000000 	 1048386
427	 0.0156250000 	 1048285
428	 0.0000000000 	 1048172
429	 0.0000000000 	 1048476
430	 0.0000000000 	 1048340
431	 0.0000000000 	 1048192
432	 0.0000000000 	 1048464
433	 0.0156250000 	 1048293
434	 0.0000000000 	 1048544
435	 0.0000000000 	 1048350
436	 0.0000000000 	 1048144
437	 0.0000000000 	 1048363
438	 0.0000000000 	 1048572
439	 0.0156250000 	 1048332
440	 0.0000000000 	 1048520
441	 0.0000000000 	 1048257
442	 0.0000000000 	 1048424
443	 0.0000000000 	 1048138
444	 0.0000000000 	 1048284
445	 0.0156250000 	 1048420
446	 0.0000000000 	 1048546
447	 0.0000000000 	 1048215
448	 0.0000000000 	 1048320
449	 0.0000000000 	 1048415
450	 0.0000000000 	 1048500
451	 0.0156250000 	 1048575
452	 0.0000000000 	 1048188
453	 0.0000000000 	 1048242
454	 0.0000000000 	 1048286
455	 0.0000000000 	 1048320
456	 0.0000000000 	 1048344
457	 0.0156250000 	 1048358
458	 0.0000000000 	 1048362
459	 0.0000000000 	 1048356
460	 0.0000000000 	 1048340
461	 0.0000000000 	 1048314
462	 0.0156250000 	 1048278
463	 0.0000000000 	 1048232
464	 0.0000000000 	 1048176
465	 0.0000000000 	 1048575
466	 0.0000000000 	 1048500
467	 0.0000000000 	 1048415
468	 0.0156250000 	 1048320
469	 0.0000000000 	 1048215
470	 0.0000000000 	 1048570
471	 0.0000000000 	 1048446
472	 0.0000000000 	 1048312
473	 0.0000000000 	 1048168
474	 0.0156250000 	 1048488
475	 0.0000000000 	 1048325
476	 0.0000000000 	 1048152
477	 0.0000000000 	 1048446
478	 0.0000000000 	 1048254
479	 0.0000000000 	 1048531
480	 0.0156250000 	 1048320
481	 0.0000000000 	 1048099
482	 0.0000000000 	 1048350
483	 0.0000000000 	 1048110
484	 0.0000000000 	 1048344
485	 0.0000000000 	 1048570
486	 0.0156250000 	 1048302
487	 0.0000000000 	 1048511
488	 0.0000000000 	 1048224
489	 0.0000000000 	 1048416
490	 0.0000000000 	 1048110
491	 0.0000000000 	 1048285
492	 0.0156250000 	 1048452
493	 0.0000000000 	 1048118
494	 0.0000000000 	 1048268
495	 0.0000000000 	 1048410
496	 0.0000000000 	 1048544
497	 0.0156250000 	 1048173
498	 0.0000000000 	 1048290
499	 0.0000000000 	 1048399
500	 0.0000000000 	 1048500
501	 0.0000000000 	 1048092
502	 0.0000000000 	 1048176
503	 0.0156250000 	 1048252
504	 0.0000000000 	 1048320
505	 0.0000000000 	 1048380
506	 0.0000000000 	 1048432
507	 0.0000000000 	 1048476
508	 0.0000000000 	 1048512
509	 0.0156250000 	 1048540
510	 0.0000000000 	 1048560
511	 0.0000000000 	 1048572
512	 0.0000000000 	 1048576
